A	A SP
BUWXA	B UWXA SP
BUWJ	B UWJ SP
BUWJC	B UWJ C SP
C	C  SP
CA	C A SP
CAI	C AI SP
CAM	C A M SP
CAN	C A N SP
CANH	C A NH SP
CAO	C AO SP
CAY	C AY SP
CHA	CH A SP
CHAI	CH AI SP
CHAN	CH A N SP
CHANG	CH A NG SP
CHANH	CH A NH SP
CHAO	CH AO SP
CHAY	CH AY SP
CHE	CH E SP
CHEM	CH E M SP
CHEN	CH E N SP
CHENG	CH E NG SP
CHEO	CH EO SP
CHI	CH I SP
CHIA	CH IA SP
CHIM	CH I M SP
CHINH	CH I NH SP
CHIEEM	CH IEE M SP
CHIEEN	CH IEE N SP
CHIEENG	CH IEE NG SP
CHIEEU	CH IEEU SP
CHIEESC	CH IEES C SP
CHIEESM	CH IEES M SP
CHIEESN	CH IEES N SP
CHIEESNG	CH IEES NG SP
CHIEEST	CH IEES T SP
CHIEESU	CH IEESU SP
CHIEEFN	CH IEEF N SP
CHIEEFU	CH IEEFU SP
CHIEERU	CH IEERU SP
CHO	CH O SP
CHOANG	CH OA NG SP
CHONG	CH O NG SP
CHOAFNG	CH OAF NG SP
CHOASNG	CH OAS NG SP
CHOEFN	CH OEF N SP
CHOAJC	CH OAJ C SP
CHOAJNG	CH OAJ NG SP
CHOARNG	CH OAR NG SP
CHOAWST	CH OAWS T SP
CHU	CH U SP
CHUA	CH UA SP
CHUI	CH UI SP
CHUM	CH U M SP
CHUNG	CH U NG SP
CHUYEEN	CH UYEE N SP
CHUYEESN	CH UYEES N SP
CHUYEEFN	CH UYEEF N SP
CHUYEERN	CH UYEER N SP
CHUYEEJN	CH UYEEJ N SP
CHUOOI	CH UOOI SP
CHUOONG	CH UOO NG SP
CHUAARN	CH UAAR N SP
CHUOOSC	CH UOOS C SP
CHUOOSI	CH UOOSI SP
CHUOOST	CH UOOS T SP
CHUOOFI	CH UOOFI SP
CHUOOFN	CH UOOF N SP
CHUOOFNG	CH UOOF NG SP
CHUOOXI	CH UOOXI SP
CHUOOJC	CH UOOJ C SP
CHUOOJNG	CH UOOJ NG SP
CHUOOJT	CH UOOJ T SP
CHAF	CH AF SP
CHAFI	CH AFI SP
CHAFM	CH AF M SP
CHAFNG	CH AF NG SP
CHAFNH	CH AF NH SP
CHAFO	CH AFO SP
CHAFY	CH AFY SP
CHASC	CH AS C SP
CHASI	CH ASI SP
CHASN	CH AS N SP
CHASNH	CH AS NH SP
CHASO	CH ASO SP
CHAST	CH AS T SP
CHASU	CH ASU SP
CHASY	CH ASY SP
CHAAM	CH AA M SP
CHAAN	CH AA N SP
CHAAU	CH AAU SP
CHAX	CH AX SP
CHAXO	CH AXO SP
CHEF	CH EF SP
CHEFN	CH EF N SP
CHEFO	CH EFO SP
CHES	CH ES SP
CHESM	CH ES M SP
CHESN	CH ES N SP
CHESO	CH ESO SP
CHESP	CH ES P SP
CHEST	CH ES T SP
CHEE	CH EE SP
CHEEM	CH EE M SP
CHEENH	CH EE NH SP
CHIF	CH IF SP
CHIFM	CH IF M SP
CHIFU	CH IFU SP
CHIS	CH IS SP
CHISCH	CH IS CH SP
CHISN	CH IS N SP
CHISNH	CH IS NH SP
CHIST	CH IS T SP
CHOF	CH OF SP
CHOFNG	CH OF NG SP
CHOS	CH OS SP
CHOSE	CH OSE SP
CHOSI	CH OSI SP
CHOSNG	CH OS NG SP
CHOST	CH OS T SP
CHOON	CH OO N SP
CHOONG	CH OO NG SP
CHUF	CH UF SP
CHUFA	CH UFA SP
CHUFI	CH UFI SP
CHUFM	CH UF M SP
CHUS	CH US SP
CHUSA	CH USA SP
CHUSC	CH US C SP
CHUSI	CH USI SP
CHUSNG	CH US NG SP
CHUST	CH US T SP
CHAWM	CH AW M SP
CHAWN	CH AW N SP
CHAWNG	CH AW NG SP
CHIXN	CH IX N SP
CHUXI	CH UXI SP
CHUXN	CH UX N SP
CHOW	CH OW SP
CHOWI	CH OWI SP
CHUW	CH UW SP
CHUWA	CH UWA SP
CHUWNG	CH UW NG SP
CHUWOWNG	CH UWOW NG SP
CHUWOWSC	CH UWOWS C SP
CHUWOWSNG	CH UWOWS NG SP
CHUWOWFM	CH UWOWF M SP
CHUWOWJC	CH UWOWJ C SP
CHAJCH	CH AJ CH SP
CHAJM	CH AJ M SP
CHAJN	CH AJ N SP
CHAJNH	CH AJ NH SP
CHAJP	CH AJ P SP
CHAJY	CH AJY SP
CHAR	CH AR SP
CHARI	CH ARI SP
CHARO	CH ARO SP
CHARY	CH ARY SP
CHAASM	CH AAS M SP
CHAASN	CH AAS N SP
CHAASP	CH AAS P SP
CHAAST	CH AAS T SP
CHAASU	CH AASU SP
CHAAFM	CH AAF M SP
CHAAFU	CH AAFU SP
CHAARM	CH AAR M SP
CHAARN	CH AAR N SP
CHAAJM	CH AAJ M SP
CHAAJP	CH AAJ P SP
CHAAJT	CH AAJ T SP
CHAAJU	CH AAJU SP
CHAWSC	CH AWS C SP
CHAWSM	CH AWS M SP
CHAWSN	CH AWS N SP
CHAWSP	CH AWS P SP
CHAWST	CH AWS T SP
CHAWFM	CH AWF M SP
CHAWFN	CH AWF N SP
CHAWFNG	CH AWF NG SP
CHAWRNG	CH AWR NG SP
CHAWXN	CH AWX N SP
CHAWJN	CH AWJ N SP
CHAWJNG	CH AWJ NG SP
CHAWJT	CH AWJ T SP
CHEJN	CH EJ N SP
CHEJO	CH EJO SP
CHEJP	CH EJ P SP
CHER	CH ER SP
CHEX	CH EX SP
CHEXN	CH EX N SP
CHEES	CH EES SP
CHEEST	CH EES T SP
CHEEF	CH EEF SP
CHEEFNH	CH EEF NH SP
CHEERNH	CH EER NH SP
CHEEJCH	CH EEJ CH SP
CHIR	CH IR SP
CHIRNH	CH IR NH SP
CHIJ	CH IJ SP
CHIJT	CH IJ T SP
CHIJU	CH IJU SP
CHOJC	CH OJ C SP
CHOJI	CH OJI SP
CHOJN	CH OJ N SP
CHOJT	CH OJ T SP
CHOR	CH OR SP
CHORM	CH OR M SP
CHORN	CH OR N SP
CHOOSC	CH OOS C SP
CHOOSI	CH OOSI SP
CHOOSN	CH OOS N SP
CHOOSNG	CH OOS NG SP
CHOOST	CH OOS T SP
CHOOFI	CH OOFI SP
CHOOFM	CH OOF M SP
CHOOFN	CH OOF N SP
CHOOFNG	CH OOF NG SP
CHOORI	CH OORI SP
CHOOX	CH OOX SP
CHOOJP	CH OOJ P SP
CHOWS	CH OWS SP
CHOWSI	CH OWSI SP
CHOWF	CH OWF SP
CHOWFN	CH OWF N SP
CHOWR	CH OWR SP
CHOWJ	CH OWJ SP
CHOWJP	CH OWJ P SP
CHOWJT	CH OWJ T SP
CHUJC	CH UJ C SP
CHUJM	CH UJ M SP
CHUJP	CH UJ P SP
CHUR	CH UR SP
CHURNG	CH UR NG SP
CHUWS	CH UWS SP
CHUWSA	CH UWSA SP
CHUWSC	CH UWS C SP
CHUWSNG	CH UWS NG SP
CHUWF	CH UWF SP
CHUWFNG	CH UWF NG SP
CHUWRA	CH UWRA SP
CHUWRI	CH UWRI SP
CHUWRNG	CH UWR NG SP
CHUWX	CH UWX SP
CHUWXA	CH UWXA SP
CHUWXNG	CH UWX NG SP
CHUWJC	CH UWJ C SP
CO	C O SP
COI	C OI SP
CON	C O N SP
CONG	C O NG SP
CU	C U SP
CUA	C UA SP
CUN	C U N SP
CUNG	C U NG SP
CUOONG	C UOO NG SP
CUOOSC	C UOOS C SP
CUOOSI	C UOOSI SP
CUOOSN	C UOOS N SP
CUOOSNG	C UOOS NG SP
CUOOFN	C UOOF N SP
CUOOFNG	C UOOF NG SP
CUOOXM	C UOOX M SP
CUOOJC	C UOOJ C SP
CUOOJI	C UOOJI SP
CUOOJN	C UOOJ N SP
CAF	C AF SP
CAFI	C AFI SP
CAFNG	C AF NG SP
CAFNH	C AF NH SP
CAFO	C AFO SP
CAFU	C AFU SP
CAFY	C AFY SP
CAS	C AS SP
CASC	C AS C SP
CASCH	C AS CH SP
CASI	C ASI SP
CASM	C AS M SP
CASN	C AS N SP
CASNG	C AS NG SP
CASNH	C AS NH SP
CASO	C ASO SP
CASP	C AS P SP
CAST	C AS T SP
CASU	C ASU SP
CASY	C ASY SP
CAAM	C AA M SP
CAAN	C AA N SP
CAAU	C AAU SP
CAAY	C AAY SP
CAXI	C AXI SP
COF	C OF SP
COFI	C OFI SP
COFM	C OF M SP
COFN	C OF N SP
COFNG	C OF NG SP
COS	C OS SP
COSC	C OS C SP
COSNG	C OS NG SP
COSP	C OS P SP
COST	C OS T SP
COO	C OO SP
COOI	C OOI SP
COOM	C OO M SP
COON	C OO N SP
COONG	C OO NG SP
COXI	C OXI SP
COXNG	C OX NG SP
CUF	C UF SP
CUFI	C UFI SP
CUFN	C UF N SP
CUFNG	C UF NG SP
CUS	C US SP
CUSC	C US C SP
CUSI	C USI SP
CUSM	C US M SP
CUSNG	C US NG SP
CUSP	C US P SP
CUST	C US T SP
CAWM	C AW M SP
CAWN	C AW N SP
CAWNG	C AW NG SP
CUX	C UX SP
CUXI	C UXI SP
CUXN	C UX N SP
CUXNG	C UX NG SP
COW	C OW SP
COWI	C OWI SP
COWM	C OW M SP
COWN	C OW N SP
CUW	C UW SP
CUWA	C UWA SP
CUWNG	C UW NG SP
CUWU	C UWU SP
CUWOWNG	C UWOW NG SP
CUWOWSC	C UWOWS C SP
CUWOWSI	C UWOWSI SP
CUWOWSP	C UWOWS P SP
CUWOWFI	C UWOWFI SP
CUWOWFM	C UWOWF M SP
CUWOWFNG	C UWOWF NG SP
CUWOWXI	C UWOWXI SP
CUWOWXNG	C UWOWX NG SP
CAJC	C AJ C SP
CAJCH	C AJ CH SP
CAJM	C AJ M SP
CAJN	C AJ N SP
CAJNH	C AJ NH SP
CAJO	C AJO SP
CAJP	C AJ P SP
CAJU	C AJU SP
CAJY	C AJY SP
CAR	C AR SP
CARI	C ARI SP
CARM	C AR M SP
CARN	C AR N SP
CARNG	C AR NG SP
CARNH	C AR NH SP
CARO	C ARO SP
CAASM	C AAS M SP
CAASP	C AAS P SP
CAAST	C AAS T SP
CAASU	C AASU SP
CAASY	C AASY SP
CAAFM	C AAF M SP
CAAFN	C AAF N SP
CAAFU	C AAFU SP
CAAFY	C AAFY SP
CAARM	C AAR M SP
CAARN	C AAR N SP
CAARU	C AARU SP
CAAXNG	C AAX NG SP
CAAJN	C AAJ N SP
CAAJP	C AAJ P SP
CAAJT	C AAJ T SP
CAAJU	C AAJU SP
CAAJY	C AAJY SP
CAWSC	C AWS C SP
CAWSM	C AWS M SP
CAWSN	C AWS N SP
CAWSP	C AWS P SP
CAWST	C AWS T SP
CAWFM	C AWF M SP
CAWFN	C AWF N SP
CAWRNG	C AWR NG SP
CAWJM	C AWJ M SP
CAWJN	C AWJ N SP
CAWJP	C AWJ P SP
COJ	C OJ SP
COJC	C OJ C SP
COJN	C OJ N SP
COJNG	C OJ NG SP
COJP	C OJ P SP
COJT	C OJ T SP
COR	C OR SP
CORI	C ORI SP
CORM	C OR M SP
COOS	C OOS SP
COOSC	C OOS C SP
COOSI	C OOSI SP
COOSM	C OOS M SP
COOSNG	C OOS NG SP
COOST	C OOS T SP
COOF	C OOF SP
COOFM	C OOF M SP
COOFN	C OOF N SP
COOFNG	C OOF NG SP
COOR	C OOR SP
COORNG	C OOR NG SP
COOX	C OOX SP
COOXI	C OOXI SP
COOJ	C OOJ SP
COOJI	C OOJI SP
COOJNG	C OOJ NG SP
COOJP	C OOJ P SP
COOJT	C OOJ T SP
COWS	C OWS SP
COWF	C OWF SP
COWFI	C OWFI SP
COWRI	C OWRI SP
COWX	C OWX SP
COWJT	C OWJ T SP
CUJ	C UJ SP
CUJC	C UJ C SP
CUJI	C UJI SP
CUJM	C UJ M SP
CUJP	C UJ P SP
CUJT	C UJ T SP
CUR	C UR SP
CURA	C URA SP
CURI	C URI SP
CURNG	C UR NG SP
CUWS	C UWS SP
CUWSA	C UWSA SP
CUWSNG	C UWS NG SP
CUWSU	C UWSU SP
CUWF	C UWF SP
CUWFU	C UWFU SP
CUWR	C UWR SP
CUWRA	C UWRA SP
CUWRI	C UWRI SP
CUWRU	C UWRU SP
CUWX	C UWX SP
CUWJ	C UWJ SP
CUWJA	C UWJA SP
CUWJC	C UWJ C SP
CUWJU	C UWJU SP
D	D  SP
DA	D A SP
DAI	D AI SP
DANG	D A NG SP
DANH	D A NH SP
DAO	D AO SP
DI	D I SP
DIM	D I M SP
DINH	D I NH SP
DIEEM	D IEE M SP
DIEEN	D IEE N SP
DIEEU	D IEEU SP
DIEESC	D IEES C SP
DIEEST	D IEES T SP
DIEESU	D IEESU SP
DIEEFU	D IEEFU SP
DIEEXM	D IEEX M SP
DIEEXN	D IEEX N SP
DIEEJC	D IEEJ C SP
DIEEJM	D IEEJ M SP
DIEEJN	D IEEJ N SP
DIEEJP	D IEEJ P SP
DIEEJT	D IEEJ T SP
DIEEJU	D IEEJU SP
DO	D O SP
DOANH	D OA NH SP
DOI	D OI SP
DONG	D O NG SP
DOAXN	D OAX N SP
DU	D U SP
DUA	D UA SP
DUNG	D U NG SP
DUY	D UY SP
DUYEEN	D UYEE N SP
DUYEEJT	D UYEEJ T SP
DUOOXI	D UOOXI SP
DAF	D AF SP
DAFI	D AFI SP
DAFN	D AF N SP
DAFNG	D AF NG SP
DAFNH	D AF NH SP
DAFO	D AFO SP
DAFY	D AFY SP
DASC	D AS C SP
DASM	D AS M SP
DASN	D AS N SP
DASNG	D AS NG SP
DASO	D ASO SP
DAAM	D AA M SP
DAAN	D AA N SP
DAANG	D AA NG SP
DAAU	D AAU SP
DAAY	D AAY SP
DAX	D AX SP
DAXNG	D AX NG SP
DAXY	D AXY SP
DEF	D EF SP
DESP	D ES P SP
DEE	D EE SP
DIF	D IF SP
DIFU	D IFU SP
DIS	D IS SP
DISNH	D IS NH SP
DOF	D OF SP
DOFI	D OFI SP
DOFM	D OF M SP
DOFNG	D OF NG SP
DOS	D OS SP
DOSC	D OS C SP
DOSM	D OS M SP
DOOI	D OOI SP
DOONG	D OO NG SP
DOXI	D OXI SP
DOXNG	D OX NG SP
DUF	D UF SP
DUFI	D UFI SP
DUFNG	D UF NG SP
DUSM	D US M SP
DAWM	D AW M SP
DAWN	D AW N SP
DIX	D IX SP
DIXA	D IXA SP
DUXNG	D UX NG SP
DOWI	D OWI SP
DUW	D UW SP
DUWA	D UWA SP
DUWNG	D UW NG SP
DUWOWNG	D UWOW NG SP
DUWOWSI	D UWOWSI SP
DUWOWFNG	D UWOWF NG SP
DUWOWXNG	D UWOWX NG SP
DUWOWJC	D UWOWJ C SP
DUWOWJT	D UWOWJ T SP
DAJ	D AJ SP
DAJC	D AJ C SP
DAJI	D AJI SP
DAJM	D AJ M SP
DAJN	D AJ N SP
DAJNG	D AJ NG SP
DAJO	D AJO SP
DAJT	D AJ T SP
DAJY	D AJY SP
DAR	D AR SP
DARI	D ARI SP
DAASN	D AAS N SP
DAASP	D AAS P SP
DAASU	D AASU SP
DAASY	D AASY SP
DAAFM	D AAF M SP
DAAFN	D AAF N SP
DAAFU	D AAFU SP
DAARN	D AAR N SP
DAAXM	D AAX M SP
DAAXN	D AAX N SP
DAAXU	D AAXU SP
DAAXY	D AAXY SP
DAAJM	D AAJ M SP
DAAJP	D AAJ P SP
DAAJY	D AAJY SP
DAWST	D AWS T SP
DAWFN	D AWF N SP
